L,p_error,num_success
3,0,1,100
3,0.00777778,1,96
3,0.0155556,1,62
3,0.0233333,1,58
3,0.0311111,1,44
3,0.0388889,1,39
3,0.0466667,1,47
3,0.0544444,1,47
3,0.0622222,1,59
3,0.07,1,60
5,0,1,100
5,0.00777778,1,97
5,0.0155556,1,46
5,0.0233333,1,52
5,0.0311111,1,52
5,0.0388889,1,50
5,0.0466667,1,50
5,0.0544444,1,50
5,0.0622222,1,47
5,0.07,1,46
7,0,1,100
7,0.00777778,1,97
7,0.0155556,1,55
7,0.0233333,1,49
7,0.0311111,1,54
7,0.0388889,1,44
7,0.0466667,1,44
7,0.0544444,1,44
7,0.0622222,1,59
7,0.07,1,56
9,0,1,100
9,0.00777778,1,95
9,0.0155556,1,55
9,0.0233333,1,59
9,0.0311111,1,46
9,0.0388889,1,45
9,0.0466667,1,55
9,0.0544444,1,49
9,0.0622222,1,43
9,0.07,1,52
11,0,1,100
11,0.00777778,1,96
11,0.0155556,1,47
11,0.0233333,1,55
11,0.0311111,1,47
11,0.0388889,1,63
11,0.0466667,1,45
11,0.0544444,1,48
11,0.0622222,1,49
11,0.07,1,48
13,0,1,100
13,0.00777778,1,93
13,0.0155556,1,50
13,0.0233333,1,48
13,0.0311111,1,42
13,0.0388889,1,51
13,0.0466667,1,49
13,0.0544444,1,49
13,0.0622222,1,53
13,0.07,1,52
15,0,1,100
15,0.00777778,1,98
15,0.0155556,1,52
15,0.0233333,1,53
15,0.0311111,1,46
15,0.0388889,1,53
15,0.0466667,1,52
15,0.0544444,1,52
15,0.0622222,1,43
15,0.07,1,49
17,0,1,100
17,0.00777778,1,98
17,0.0155556,1,49
17,0.0233333,1,51
17,0.0311111,1,52
17,0.0388889,1,45
17,0.0466667,1,46
17,0.0544444,1,49
17,0.0622222,1,46
17,0.07,1,55
