L,p_error,num_success
3,0,1,100
3,0.00777778,1,92
3,0.0155556,1,58
3,0.0233333,1,46
3,0.0311111,1,46
3,0.0388889,1,51
3,0.0466667,1,57
3,0.0544444,1,43
3,0.0622222,1,54
3,0.07,1,59
5,0,1,100
5,0.00777778,1,95
5,0.0155556,1,41
5,0.0233333,1,53
5,0.0311111,1,47
5,0.0388889,1,44
5,0.0466667,1,48
5,0.0544444,1,52
5,0.0622222,1,53
5,0.07,1,61
7,0,1,100
7,0.00777778,1,93
7,0.0155556,1,52
7,0.0233333,1,56
7,0.0311111,1,49
7,0.0388889,1,54
7,0.0466667,1,57
7,0.0544444,1,53
7,0.0622222,1,49
7,0.07,1,51
9,0,1,100
9,0.00777778,1,98
9,0.0155556,1,65
9,0.0233333,1,54
9,0.0311111,1,61
9,0.0388889,1,49
9,0.0466667,1,55
9,0.0544444,1,48
9,0.0622222,1,47
9,0.07,1,47
11,0,1,100
11,0.00777778,1,96
11,0.0155556,1,52
11,0.0233333,1,50
11,0.0311111,1,55
11,0.0388889,1,62
11,0.0466667,1,55
11,0.0544444,1,52
11,0.0622222,1,45
11,0.07,1,52
13,0,1,100
13,0.00777778,1,98
13,0.0155556,1,53
13,0.0233333,1,61
13,0.0311111,1,49
13,0.0388889,1,53
13,0.0466667,1,58
13,0.0544444,1,47
13,0.0622222,1,52
13,0.07,1,47
15,0,1,100
15,0.00777778,1,96
15,0.0155556,1,55
15,0.0233333,1,60
15,0.0311111,1,55
15,0.0388889,1,46
15,0.0466667,1,53
15,0.0544444,1,50
15,0.0622222,1,49
15,0.07,1,52
17,0,1,100
17,0.00777778,1,98
17,0.0155556,1,55
17,0.0233333,1,48
17,0.0311111,1,58
17,0.0388889,1,45
17,0.0466667,1,41
17,0.0544444,1,48
17,0.0622222,1,48
17,0.07,1,46
