L,p_error,num_success
3,0,1,100
3,0.00133333,1,88
3,0.00266667,1,66
3,0.004,1,61
3,0.00533333,1,44
3,0.00666667,1,48
3,0.008,1,51
3,0.00933333,1,52
3,0.0106667,1,44
3,0.012,1,53
5,0,1,100
5,0.00133333,1,82
5,0.00266667,1,55
5,0.004,1,51
5,0.00533333,1,46
5,0.00666667,1,50
5,0.008,1,44
5,0.00933333,1,55
5,0.0106667,1,55
5,0.012,1,53
7,0,1,100
7,0.00133333,1,76
7,0.00266667,1,38
7,0.004,1,51
7,0.00533333,1,46
7,0.00666667,1,56
7,0.008,1,43
7,0.00933333,1,44
7,0.0106667,1,49
7,0.012,1,49
9,0,1,100
9,0.00133333,1,80
9,0.00266667,1,49
9,0.004,1,43
9,0.00533333,1,49
9,0.00666667,1,47
9,0.008,1,55
9,0.00933333,1,54
9,0.0106667,1,48
9,0.012,1,49
11,0,1,100
11,0.00133333,1,74
11,0.00266667,1,47
11,0.004,1,52
11,0.00533333,1,53
11,0.00666667,1,56
11,0.008,1,60
11,0.00933333,1,58
11,0.0106667,1,57
11,0.012,1,50
13,0,1,100
13,0.00133333,1,66
13,0.00266667,1,55
13,0.004,1,48
13,0.00533333,1,49
13,0.00666667,1,49
13,0.008,1,50
13,0.00933333,1,43
13,0.0106667,1,46
13,0.012,1,51
15,0,1,100
15,0.00133333,1,57
15,0.00266667,1,43
15,0.004,1,48
15,0.00533333,1,53
15,0.00666667,1,40
15,0.008,1,57
15,0.00933333,1,50
15,0.0106667,1,58
15,0.012,1,57
17,0,1,100
17,0.00133333,1,69
17,0.00266667,1,38
17,0.004,1,50
17,0.00533333,1,49
17,0.00666667,1,47
17,0.008,1,50
17,0.00933333,1,51
17,0.0106667,1,42
17,0.012,1,62
