L,p_error,num_success
3,0,1,100
3,0.00777778,1,97
3,0.0155556,1,58
3,0.0233333,1,55
3,0.0311111,1,54
3,0.0388889,1,56
3,0.0466667,1,43
3,0.0544444,1,53
3,0.0622222,1,57
3,0.07,1,50
5,0,1,100
5,0.00777778,1,99
5,0.0155556,1,54
5,0.0233333,1,52
5,0.0311111,1,49
5,0.0388889,1,45
5,0.0466667,1,47
5,0.0544444,1,60
5,0.0622222,1,47
5,0.07,1,51
7,0,1,100
7,0.00777778,1,100
7,0.0155556,1,48
7,0.0233333,1,51
7,0.0311111,1,51
7,0.0388889,1,52
7,0.0466667,1,46
7,0.0544444,1,53
7,0.0622222,1,41
7,0.07,1,45
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,53
9,0.0233333,1,52
9,0.0311111,1,54
9,0.0388889,1,50
9,0.0466667,1,46
9,0.0544444,1,60
9,0.0622222,1,53
9,0.07,1,46
11,0,1,100
11,0.00777778,1,99
11,0.0155556,1,50
11,0.0233333,1,45
11,0.0311111,1,46
11,0.0388889,1,57
11,0.0466667,1,47
11,0.0544444,1,48
11,0.0622222,1,48
11,0.07,1,56
13,0,1,100
13,0.00777778,1,100
13,0.0155556,1,44
13,0.0233333,1,41
13,0.0311111,1,49
13,0.0388889,1,43
13,0.0466667,1,47
13,0.0544444,1,50
13,0.0622222,1,53
13,0.07,1,56
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,52
15,0.0233333,1,48
15,0.0311111,1,51
15,0.0388889,1,52
15,0.0466667,1,57
15,0.0544444,1,46
15,0.0622222,1,42
15,0.07,1,58
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,44
17,0.0233333,1,52
17,0.0311111,1,61
17,0.0388889,1,55
17,0.0466667,1,51
17,0.0544444,1,50
17,0.0622222,1,49
17,0.07,1,51
