L,p_error,num_success
3,0,1,100
3,0.00555556,1,92
3,0.0111111,1,72
3,0.0166667,1,59
3,0.0222222,1,57
3,0.0277778,1,55
3,0.0333333,1,56
3,0.0388889,1,46
3,0.0444444,1,47
3,0.05,1,57
5,0,1,100
5,0.00555556,1,81
5,0.0111111,1,63
5,0.0166667,1,54
5,0.0222222,1,45
5,0.0277778,1,48
5,0.0333333,1,44
5,0.0388889,1,50
5,0.0444444,1,46
5,0.05,1,54
7,0,1,100
7,0.00555556,1,84
7,0.0111111,1,53
7,0.0166667,1,54
7,0.0222222,1,54
7,0.0277778,1,41
7,0.0333333,1,47
7,0.0388889,1,52
7,0.0444444,1,45
7,0.05,1,47
9,0,1,100
9,0.00555556,1,82
9,0.0111111,1,50
9,0.0166667,1,50
9,0.0222222,1,53
9,0.0277778,1,54
9,0.0333333,1,56
9,0.0388889,1,46
9,0.0444444,1,58
9,0.05,1,46
11,0,1,100
11,0.00555556,1,77
11,0.0111111,1,51
11,0.0166667,1,44
11,0.0222222,1,42
11,0.0277778,1,51
11,0.0333333,1,51
11,0.0388889,1,44
11,0.0444444,1,52
11,0.05,1,46
13,0,1,100
13,0.00555556,1,75
13,0.0111111,1,53
13,0.0166667,1,52
13,0.0222222,1,52
13,0.0277778,1,54
13,0.0333333,1,50
13,0.0388889,1,55
13,0.0444444,1,46
13,0.05,1,46
15,0,1,100
15,0.00555556,1,64
15,0.0111111,1,41
15,0.0166667,1,62
15,0.0222222,1,47
15,0.0277778,1,47
15,0.0333333,1,48
15,0.0388889,1,41
15,0.0444444,1,42
15,0.05,1,56
17,0,1,100
17,0.00555556,1,54
17,0.0111111,1,38
17,0.0166667,1,46
17,0.0222222,1,49
17,0.0277778,1,56
17,0.0333333,1,43
17,0.0388889,1,50
17,0.0444444,1,52
17,0.05,1,46
