L,p_error,num_success
3,0,1,100
3,0.00777778,1,100
3,0.0155556,1,99
3,0.0233333,1,100
3,0.0311111,1,97
3,0.0388889,1,86
3,0.0466667,1,79
3,0.0544444,1,78
3,0.0622222,1,64
3,0.07,1,65
5,0,1,100
5,0.00777778,1,100
5,0.0155556,1,100
5,0.0233333,1,100
5,0.0311111,1,98
5,0.0388889,1,91
5,0.0466667,1,82
5,0.0544444,1,62
5,0.0622222,1,61
5,0.07,1,53
7,0,1,100
7,0.00777778,1,100
7,0.0155556,1,100
7,0.0233333,1,100
7,0.0311111,1,99
7,0.0388889,1,93
7,0.0466667,1,68
7,0.0544444,1,54
7,0.0622222,1,49
7,0.07,1,56
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,100
9,0.0233333,1,100
9,0.0311111,1,98
9,0.0388889,1,96
9,0.0466667,1,67
9,0.0544444,1,64
9,0.0622222,1,52
9,0.07,1,52
11,0,1,100
11,0.00777778,1,100
11,0.0155556,1,100
11,0.0233333,1,100
11,0.0311111,1,98
11,0.0388889,1,85
11,0.0466667,1,56
11,0.0544444,1,56
11,0.0622222,1,43
11,0.07,1,39
13,0,1,100
13,0.00777778,1,100
13,0.0155556,1,100
13,0.0233333,1,100
13,0.0311111,1,100
13,0.0388889,1,91
13,0.0466667,1,61
13,0.0544444,1,56
13,0.0622222,1,49
13,0.07,1,44
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,100
15,0.0233333,1,100
15,0.0311111,1,100
15,0.0388889,1,91
15,0.0466667,1,54
15,0.0544444,1,55
15,0.0622222,1,48
15,0.07,1,45
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,100
17,0.0233333,1,100
17,0.0311111,1,100
17,0.0388889,1,83
17,0.0466667,1,51
17,0.0544444,1,46
17,0.0622222,1,54
17,0.07,1,53
