L,p_error,num_success
3,0,1,100
3,0.00133333,1,100
3,0.00266667,1,100
3,0.004,1,100
3,0.00533333,1,100
3,0.00666667,1,95
3,0.008,1,94
3,0.00933333,1,87
3,0.0106667,1,86
3,0.012,1,72
5,0,1,100
5,0.00133333,1,100
5,0.00266667,1,100
5,0.004,1,100
5,0.00533333,1,100
5,0.00666667,1,100
5,0.008,1,94
5,0.00933333,1,83
5,0.0106667,1,78
5,0.012,1,53
7,0,1,100
7,0.00133333,1,100
7,0.00266667,1,100
7,0.004,1,100
7,0.00533333,1,100
7,0.00666667,1,97
7,0.008,1,92
7,0.00933333,1,81
7,0.0106667,1,68
7,0.012,1,57
9,0,1,100
9,0.00133333,1,100
9,0.00266667,1,100
9,0.004,1,100
9,0.00533333,1,100
9,0.00666667,1,98
9,0.008,1,96
9,0.00933333,1,77
9,0.0106667,1,65
9,0.012,1,53
11,0,1,100
11,0.00133333,1,100
11,0.00266667,1,100
11,0.004,1,100
11,0.00533333,1,100
11,0.00666667,1,100
11,0.008,1,97
11,0.00933333,1,70
11,0.0106667,1,58
11,0.012,1,49
13,0,1,100
13,0.00133333,1,100
13,0.00266667,1,100
13,0.004,1,100
13,0.00533333,1,100
13,0.00666667,1,100
13,0.008,1,97
13,0.00933333,1,68
13,0.0106667,1,57
13,0.012,1,54
15,0,1,100
15,0.00133333,1,100
15,0.00266667,1,100
15,0.004,1,100
15,0.00533333,1,100
15,0.00666667,1,100
15,0.008,1,93
15,0.00933333,1,68
15,0.0106667,1,41
15,0.012,1,57
17,0,1,100
17,0.00133333,1,100
17,0.00266667,1,100
17,0.004,1,100
17,0.00533333,1,100
17,0.00666667,1,100
17,0.008,1,99
17,0.00933333,1,55
17,0.0106667,1,59
17,0.012,1,43
