L,p_error,num_success
3,0,1,100
3,0.00777778,1,100
3,0.0155556,1,100
3,0.0233333,1,100
3,0.0311111,1,100
3,0.0388889,1,95
3,0.0466667,1,96
3,0.0544444,1,90
3,0.0622222,1,84
3,0.07,1,63
5,0,1,100
5,0.00777778,1,100
5,0.0155556,1,100
5,0.0233333,1,100
5,0.0311111,1,100
5,0.0388889,1,100
5,0.0466667,1,96
5,0.0544444,1,92
5,0.0622222,1,70
5,0.07,1,61
7,0,1,100
7,0.00777778,1,100
7,0.0155556,1,100
7,0.0233333,1,100
7,0.0311111,1,100
7,0.0388889,1,100
7,0.0466667,1,100
7,0.0544444,1,89
7,0.0622222,1,69
7,0.07,1,50
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,100
9,0.0233333,1,100
9,0.0311111,1,100
9,0.0388889,1,100
9,0.0466667,1,98
9,0.0544444,1,81
9,0.0622222,1,51
9,0.07,1,54
11,0,1,100
11,0.00777778,1,100
11,0.0155556,1,100
11,0.0233333,1,100
11,0.0311111,1,100
11,0.0388889,1,100
11,0.0466667,1,97
11,0.0544444,1,80
11,0.0622222,1,61
11,0.07,1,59
13,0,1,100
13,0.00777778,1,100
13,0.0155556,1,100
13,0.0233333,1,100
13,0.0311111,1,100
13,0.0388889,1,100
13,0.0466667,1,100
13,0.0544444,1,84
13,0.0622222,1,50
13,0.07,1,56
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,100
15,0.0233333,1,100
15,0.0311111,1,100
15,0.0388889,1,100
15,0.0466667,1,99
15,0.0544444,1,80
15,0.0622222,1,50
15,0.07,1,58
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,100
17,0.0233333,1,100
17,0.0311111,1,100
17,0.0388889,1,100
17,0.0466667,1,100
17,0.0544444,1,75
17,0.0622222,1,49
17,0.07,1,48
