L,p_error,num_success
3,0,1,100
3,0.00777778,1,94
3,0.0155556,1,63
3,0.0233333,1,51
3,0.0311111,1,48
3,0.0388889,1,45
3,0.0466667,1,51
3,0.0544444,1,55
3,0.0622222,1,47
3,0.07,1,55
5,0,1,100
5,0.00777778,1,96
5,0.0155556,1,52
5,0.0233333,1,50
5,0.0311111,1,48
5,0.0388889,1,48
5,0.0466667,1,48
5,0.0544444,1,42
5,0.0622222,1,51
5,0.07,1,51
7,0,1,100
7,0.00777778,1,98
7,0.0155556,1,49
7,0.0233333,1,53
7,0.0311111,1,51
7,0.0388889,1,42
7,0.0466667,1,49
7,0.0544444,1,54
7,0.0622222,1,46
7,0.07,1,49
9,0,1,100
9,0.00777778,1,95
9,0.0155556,1,51
9,0.0233333,1,58
9,0.0311111,1,46
9,0.0388889,1,43
9,0.0466667,1,47
9,0.0544444,1,50
9,0.0622222,1,48
9,0.07,1,48
11,0,1,100
11,0.00777778,1,99
11,0.0155556,1,49
11,0.0233333,1,49
11,0.0311111,1,54
11,0.0388889,1,53
11,0.0466667,1,48
11,0.0544444,1,56
11,0.0622222,1,53
11,0.07,1,49
13,0,1,100
13,0.00777778,1,99
13,0.0155556,1,55
13,0.0233333,1,54
13,0.0311111,1,51
13,0.0388889,1,46
13,0.0466667,1,47
13,0.0544444,1,53
13,0.0622222,1,62
13,0.07,1,42
15,0,1,100
15,0.00777778,1,98
15,0.0155556,1,55
15,0.0233333,1,47
15,0.0311111,1,58
15,0.0388889,1,47
15,0.0466667,1,48
15,0.0544444,1,51
15,0.0622222,1,45
15,0.07,1,60
17,0,1,100
17,0.00777778,1,97
17,0.0155556,1,48
17,0.0233333,1,47
17,0.0311111,1,58
17,0.0388889,1,57
17,0.0466667,1,50
17,0.0544444,1,39
17,0.0622222,1,53
17,0.07,1,46
