L,p_error,num_success
3,0,1,100
3,0.00555556,1,97
3,0.0111111,1,91
3,0.0166667,1,82
3,0.0222222,1,81
3,0.0277778,1,61
3,0.0333333,1,59
3,0.0388889,1,61
3,0.0444444,1,52
3,0.05,1,55
5,0,1,100
5,0.00555556,1,100
5,0.0111111,1,95
5,0.0166667,1,78
5,0.0222222,1,69
5,0.0277778,1,62
5,0.0333333,1,48
5,0.0388889,1,59
5,0.0444444,1,56
5,0.05,1,49
7,0,1,100
7,0.00555556,1,100
7,0.0111111,1,95
7,0.0166667,1,62
7,0.0222222,1,42
7,0.0277778,1,50
7,0.0333333,1,52
7,0.0388889,1,58
7,0.0444444,1,38
7,0.05,1,53
9,0,1,100
9,0.00555556,1,100
9,0.0111111,1,84
9,0.0166667,1,52
9,0.0222222,1,49
9,0.0277778,1,50
9,0.0333333,1,58
9,0.0388889,1,50
9,0.0444444,1,46
9,0.05,1,52
11,0,1,100
11,0.00555556,1,100
11,0.0111111,1,85
11,0.0166667,1,65
11,0.0222222,1,51
11,0.0277778,1,54
11,0.0333333,1,39
11,0.0388889,1,52
11,0.0444444,1,48
11,0.05,1,48
13,0,1,100
13,0.00555556,1,100
13,0.0111111,1,87
13,0.0166667,1,49
13,0.0222222,1,43
13,0.0277778,1,60
13,0.0333333,1,50
13,0.0388889,1,51
13,0.0444444,1,44
13,0.05,1,44
15,0,1,100
15,0.00555556,1,100
15,0.0111111,1,84
15,0.0166667,1,61
15,0.0222222,1,46
15,0.0277778,1,46
15,0.0333333,1,44
15,0.0388889,1,42
15,0.0444444,1,50
15,0.05,1,53
17,0,1,100
17,0.00555556,1,100
17,0.0111111,1,82
17,0.0166667,1,59
17,0.0222222,1,51
17,0.0277778,1,56
17,0.0333333,1,56
17,0.0388889,1,44
17,0.0444444,1,48
17,0.05,1,55
