L,p_error,num_success
3,0,1,100
3,0.00777778,1,95
3,0.0155556,1,58
3,0.0233333,1,48
3,0.0311111,1,46
3,0.0388889,1,45
3,0.0466667,1,44
3,0.0544444,1,47
3,0.0622222,1,41
3,0.07,1,46
5,0,1,100
5,0.00777778,1,99
5,0.0155556,1,50
5,0.0233333,1,47
5,0.0311111,1,48
5,0.0388889,1,46
5,0.0466667,1,37
5,0.0544444,1,60
5,0.0622222,1,48
5,0.07,1,48
7,0,1,100
7,0.00777778,1,100
7,0.0155556,1,47
7,0.0233333,1,53
7,0.0311111,1,48
7,0.0388889,1,55
7,0.0466667,1,58
7,0.0544444,1,52
7,0.0622222,1,48
7,0.07,1,43
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,48
9,0.0233333,1,53
9,0.0311111,1,47
9,0.0388889,1,52
9,0.0466667,1,49
9,0.0544444,1,51
9,0.0622222,1,44
9,0.07,1,46
11,0,1,100
11,0.00777778,1,100
11,0.0155556,1,55
11,0.0233333,1,50
11,0.0311111,1,47
11,0.0388889,1,42
11,0.0466667,1,57
11,0.0544444,1,52
11,0.0622222,1,52
11,0.07,1,51
13,0,1,100
13,0.00777778,1,100
13,0.0155556,1,47
13,0.0233333,1,49
13,0.0311111,1,43
13,0.0388889,1,42
13,0.0466667,1,52
13,0.0544444,1,45
13,0.0622222,1,46
13,0.07,1,54
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,49
15,0.0233333,1,47
15,0.0311111,1,54
15,0.0388889,1,46
15,0.0466667,1,56
15,0.0544444,1,51
15,0.0622222,1,43
15,0.07,1,44
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,56
17,0.0233333,1,53
17,0.0311111,1,54
17,0.0388889,1,55
17,0.0466667,1,50
17,0.0544444,1,53
17,0.0622222,1,55
17,0.07,1,48
