L,p_error,num_success
3,0,1,100
3,0.00777778,1,100
3,0.0155556,1,98
3,0.0233333,1,97
3,0.0311111,1,97
3,0.0388889,1,91
3,0.0466667,1,85
3,0.0544444,1,80
3,0.0622222,1,68
3,0.07,1,65
5,0,1,100
5,0.00777778,1,100
5,0.0155556,1,100
5,0.0233333,1,100
5,0.0311111,1,97
5,0.0388889,1,93
5,0.0466667,1,84
5,0.0544444,1,68
5,0.0622222,1,53
5,0.07,1,54
7,0,1,100
7,0.00777778,1,100
7,0.0155556,1,100
7,0.0233333,1,100
7,0.0311111,1,99
7,0.0388889,1,91
7,0.0466667,1,68
7,0.0544444,1,61
7,0.0622222,1,56
7,0.07,1,48
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,100
9,0.0233333,1,100
9,0.0311111,1,99
9,0.0388889,1,96
9,0.0466667,1,69
9,0.0544444,1,52
9,0.0622222,1,61
9,0.07,1,44
11,0,1,100
11,0.00777778,1,100
11,0.0155556,1,100
11,0.0233333,1,100
11,0.0311111,1,100
11,0.0388889,1,92
11,0.0466667,1,65
11,0.0544444,1,57
11,0.0622222,1,51
11,0.07,1,47
13,0,1,100
13,0.00777778,1,100
13,0.0155556,1,100
13,0.0233333,1,100
13,0.0311111,1,99
13,0.0388889,1,89
13,0.0466667,1,50
13,0.0544444,1,55
13,0.0622222,1,63
13,0.07,1,51
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,100
15,0.0233333,1,100
15,0.0311111,1,100
15,0.0388889,1,93
15,0.0466667,1,46
15,0.0544444,1,59
15,0.0622222,1,48
15,0.07,1,54
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,100
17,0.0233333,1,100
17,0.0311111,1,100
17,0.0388889,1,85
17,0.0466667,1,51
17,0.0544444,1,37
17,0.0622222,1,38
17,0.07,1,64
