L,p_error,num_success
7,0.0258586,0,976
7,0.0262626,0,963
7,0.0266667,0,965
7,0.0270707,0,972
7,0.0274747,0,958
7,0.0278788,0,964
7,0.0282828,0,954
7,0.0286869,0,955
7,0.0290909,0,943
7,0.0294949,0,931
7,0.029899,0,942
7,0.030303,0,947
7,0.0307071,0,930
7,0.0311111,0,924
7,0.0315152,0,921
7,0.0319192,0,905
7,0.0323232,0,907
7,0.0327273,0,890
7,0.0331313,0,909
7,0.0335354,0,888
7,0.0339394,0,891
7,0.0343434,0,863
7,0.0347475,0,870
7,0.0351515,0,879
7,0.0355556,0,833
7,0.0359596,0,865
7,0.0363636,0,841
7,0.0367677,0,827
7,0.0371717,0,827
7,0.0375758,0,829
7,0.0379798,0,810
7,0.0383838,0,829
7,0.0387879,0,799
7,0.0391919,0,788
7,0.039596,0,789
7,0.04,0,792
9,0,0,999
9,0.00040404,0,1000
9,0.000808081,0,1000
9,0.00121212,0,999
9,0.00161616,0,999
9,0.0020202,0,999
9,0.00242424,0,1000
9,0.00282828,0,1000
9,0.00323232,0,999
9,0.00363636,0,999
9,0.0040404,0,1000
9,0.00444444,0,999
9,0.00484848,0,1000
9,0.00525253,0,1000
9,0.00565657,0,1000
9,0.00606061,0,1000
9,0.00646465,0,999
9,0.00686869,0,1000
9,0.00727273,0,1000
9,0.00767677,0,999
9,0.00808081,0,1000
9,0.00848485,0,999
9,0.00888889,0,999
9,0.00929293,0,1000
9,0.00969697,0,1000
9,0.010101,0,999
9,0.0105051,0,1000
9,0.0109091,0,1000
9,0.0113131,0,999
9,0.0117172,0,1000
9,0.0121212,0,999
9,0.0125253,0,1000
9,0.0129293,0,998
9,0.0133333,0,1000
9,0.0137374,0,996
9,0.0141414,0,1000
9,0.0145455,0,999
9,0.0149495,0,1000
9,0.0153535,0,999
9,0.0157576,0,999
9,0.0161616,0,999
9,0.0165657,0,1000
9,0.0169697,0,1000
9,0.0173737,0,999
9,0.0177778,0,999
9,0.0181818,0,999
9,0.0185859,0,1000
9,0.0189899,0,994
9,0.0193939,0,997
9,0.019798,0,999
9,0.020202,0,992
9,0.0206061,0,993
9,0.0210101,0,995
9,0.0214141,0,996
9,0.0218182,0,996
9,0.0222222,0,990
9,0.0226263,0,989
9,0.0230303,0,992
9,0.0234343,0,992
9,0.0238384,0,989
9,0.0242424,0,982
9,0.0246465,0,986
9,0.0250505,0,986
9,0.0254545,0,974
9,0.0258586,0,977
9,0.0262626,0,970
9,0.0266667,0,979
9,0.0270707,0,970
9,0.0274747,0,964
9,0.0278788,0,965
9,0.0282828,0,957
9,0.0286869,0,947
9,0.0290909,0,936
9,0.0294949,0,951
9,0.029899,0,935
9,0.030303,0,934
9,0.0307071,0,910
9,0.0311111,0,924
9,0.0315152,0,905
9,0.0319192,0,901
9,0.0323232,0,894
9,0.0327273,0,899
9,0.0331313,0,884
9,0.0335354,0,850
9,0.0339394,0,865
9,0.0343434,0,850
9,0.0347475,0,861
9,0.0351515,0,828
9,0.0355556,0,808
9,0.0359596,0,807
9,0.0363636,0,820
9,0.0367677,0,783
9,0.0371717,0,787
9,0.0375758,0,754
9,0.0379798,0,756
9,0.0383838,0,785
9,0.0387879,0,726
9,0.0391919,0,743
9,0.039596,0,741
9,0.04,0,682
11,0,0,999
11,0.00040404,0,999
