L,p_error,num_success
3,0,1,100
3,0.00133333,1,100
3,0.00266667,1,100
3,0.004,1,99
3,0.00533333,1,97
3,0.00666667,1,90
3,0.008,1,85
3,0.00933333,1,83
3,0.0106667,1,69
3,0.012,1,66
5,0,1,100
5,0.00133333,1,100
5,0.00266667,1,100
5,0.004,1,100
5,0.00533333,1,99
5,0.00666667,1,89
5,0.008,1,81
5,0.00933333,1,69
5,0.0106667,1,56
5,0.012,1,59
7,0,1,100
7,0.00133333,1,100
7,0.00266667,1,100
7,0.004,1,100
7,0.00533333,1,99
7,0.00666667,1,95
7,0.008,1,79
7,0.00933333,1,64
7,0.0106667,1,53
7,0.012,1,51
9,0,1,100
9,0.00133333,1,100
9,0.00266667,1,100
9,0.004,1,100
9,0.00533333,1,99
9,0.00666667,1,93
9,0.008,1,71
9,0.00933333,1,53
9,0.0106667,1,50
9,0.012,1,51
11,0,1,100
11,0.00133333,1,100
11,0.00266667,1,100
11,0.004,1,100
11,0.00533333,1,100
11,0.00666667,1,93
11,0.008,1,70
11,0.00933333,1,56
11,0.0106667,1,51
11,0.012,1,45
13,0,1,100
13,0.00133333,1,100
13,0.00266667,1,100
13,0.004,1,100
13,0.00533333,1,97
13,0.00666667,1,93
13,0.008,1,67
13,0.00933333,1,56
13,0.0106667,1,56
13,0.012,1,52
15,0,1,100
15,0.00133333,1,100
15,0.00266667,1,100
15,0.004,1,100
15,0.00533333,1,100
15,0.00666667,1,86
15,0.008,1,55
15,0.00933333,1,55
15,0.0106667,1,55
15,0.012,1,53
17,0,1,100
17,0.00133333,1,100
17,0.00266667,1,100
17,0.004,1,100
17,0.00533333,1,100
17,0.00666667,1,88
17,0.008,1,63
17,0.00933333,1,48
17,0.0106667,1,50
17,0.012,1,46
