L,p_error,num_success
3,0,1,100
3,0.00133333,1,100
3,0.00266667,1,99
3,0.004,1,99
3,0.00533333,1,98
3,0.00666667,1,91
3,0.008,1,79
3,0.00933333,1,86
3,0.0106667,1,72
3,0.012,1,61
5,0,1,100
5,0.00133333,1,100
5,0.00266667,1,100
5,0.004,1,99
5,0.00533333,1,97
5,0.00666667,1,90
5,0.008,1,79
5,0.00933333,1,79
5,0.0106667,1,58
5,0.012,1,50
7,0,1,100
7,0.00133333,1,100
7,0.00266667,1,100
7,0.004,1,100
7,0.00533333,1,96
7,0.00666667,1,92
7,0.008,1,84
7,0.00933333,1,56
7,0.0106667,1,57
7,0.012,1,52
9,0,1,100
9,0.00133333,1,100
9,0.00266667,1,100
9,0.004,1,100
9,0.00533333,1,100
9,0.00666667,1,93
9,0.008,1,76
9,0.00933333,1,59
9,0.0106667,1,45
9,0.012,1,53
11,0,1,100
11,0.00133333,1,100
11,0.00266667,1,100
11,0.004,1,100
11,0.00533333,1,99
11,0.00666667,1,90
11,0.008,1,72
11,0.00933333,1,42
11,0.0106667,1,56
11,0.012,1,53
13,0,1,100
13,0.00133333,1,100
13,0.00266667,1,100
13,0.004,1,100
13,0.00533333,1,100
13,0.00666667,1,98
13,0.008,1,66
13,0.00933333,1,49
13,0.0106667,1,55
13,0.012,1,52
15,0,1,100
15,0.00133333,1,100
15,0.00266667,1,100
15,0.004,1,100
15,0.00533333,1,100
15,0.00666667,1,93
15,0.008,1,55
15,0.00933333,1,46
15,0.0106667,1,49
15,0.012,1,58
17,0,1,100
17,0.00133333,1,100
17,0.00266667,1,100
17,0.004,1,100
17,0.00533333,1,100
17,0.00666667,1,94
17,0.008,1,61
17,0.00933333,1,51
17,0.0106667,1,57
17,0.012,1,52
