L,p_error,num_success
3,0,1,100
3,0.00133333,1,81
3,0.00266667,1,64
3,0.004,1,51
3,0.00533333,1,55
3,0.00666667,1,50
3,0.008,1,49
3,0.00933333,1,53
3,0.0106667,1,55
3,0.012,1,55
5,0,1,100
5,0.00133333,1,70
5,0.00266667,1,50
5,0.004,1,54
5,0.00533333,1,55
5,0.00666667,1,44
5,0.008,1,57
5,0.00933333,1,52
5,0.0106667,1,47
5,0.012,1,43
7,0,1,100
7,0.00133333,1,62
7,0.00266667,1,49
7,0.004,1,56
7,0.00533333,1,48
7,0.00666667,1,50
7,0.008,1,42
7,0.00933333,1,40
7,0.0106667,1,48
7,0.012,1,50
9,0,1,100
9,0.00133333,1,56
9,0.00266667,1,58
9,0.004,1,51
9,0.00533333,1,59
9,0.00666667,1,56
9,0.008,1,48
9,0.00933333,1,42
9,0.0106667,1,49
9,0.012,1,49
11,0,1,100
11,0.00133333,1,52
11,0.00266667,1,56
11,0.004,1,46
11,0.00533333,1,61
11,0.00666667,1,50
11,0.008,1,43
11,0.00933333,1,51
11,0.0106667,1,49
11,0.012,1,43
13,0,1,100
13,0.00133333,1,56
13,0.00266667,1,62
13,0.004,1,51
13,0.00533333,1,50
13,0.00666667,1,51
13,0.008,1,55
13,0.00933333,1,48
13,0.0106667,1,43
13,0.012,1,49
15,0,1,100
15,0.00133333,1,60
15,0.00266667,1,51
15,0.004,1,56
15,0.00533333,1,48
15,0.00666667,1,45
15,0.008,1,62
15,0.00933333,1,54
15,0.0106667,1,47
15,0.012,1,48
17,0,1,100
17,0.00133333,1,42
17,0.00266667,1,44
17,0.004,1,47
17,0.00533333,1,57
17,0.00666667,1,60
17,0.008,1,44
17,0.00933333,1,51
17,0.0106667,1,50
17,0.012,1,59
