L,p_error,num_success
3,0,1,100
3,0.00777778,1,99
3,0.0155556,1,56
3,0.0233333,1,48
3,0.0311111,1,53
3,0.0388889,1,54
3,0.0466667,1,64
3,0.0544444,1,52
3,0.0622222,1,50
3,0.07,1,51
5,0,1,100
5,0.00777778,1,98
5,0.0155556,1,65
5,0.0233333,1,49
5,0.0311111,1,45
5,0.0388889,1,48
5,0.0466667,1,46
5,0.0544444,1,50
5,0.0622222,1,48
5,0.07,1,61
7,0,1,100
7,0.00777778,1,100
7,0.0155556,1,49
7,0.0233333,1,49
7,0.0311111,1,46
7,0.0388889,1,47
7,0.0466667,1,46
7,0.0544444,1,48
7,0.0622222,1,43
7,0.07,1,58
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,48
9,0.0233333,1,48
9,0.0311111,1,51
9,0.0388889,1,43
9,0.0466667,1,49
9,0.0544444,1,43
9,0.0622222,1,50
9,0.07,1,47
11,0,1,100
11,0.00777778,1,100
11,0.0155556,1,53
11,0.0233333,1,44
11,0.0311111,1,50
11,0.0388889,1,49
11,0.0466667,1,53
11,0.0544444,1,38
11,0.0622222,1,48
11,0.07,1,52
13,0,1,100
13,0.00777778,1,100
13,0.0155556,1,55
13,0.0233333,1,49
13,0.0311111,1,53
13,0.0388889,1,51
13,0.0466667,1,52
13,0.0544444,1,54
13,0.0622222,1,56
13,0.07,1,43
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,53
15,0.0233333,1,51
15,0.0311111,1,46
15,0.0388889,1,47
15,0.0466667,1,57
15,0.0544444,1,50
15,0.0622222,1,41
15,0.07,1,46
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,56
17,0.0233333,1,50
17,0.0311111,1,49
17,0.0388889,1,61
17,0.0466667,1,59
17,0.0544444,1,52
17,0.0622222,1,51
17,0.07,1,48
