L,p_error,num_success
3,0,1,100
3,0.00555556,1,99
3,0.0111111,1,94
3,0.0166667,1,82
3,0.0222222,1,74
3,0.0277778,1,68
3,0.0333333,1,66
3,0.0388889,1,55
3,0.0444444,1,54
3,0.05,1,57
5,0,1,100
5,0.00555556,1,99
5,0.0111111,1,90
5,0.0166667,1,71
5,0.0222222,1,62
5,0.0277778,1,62
5,0.0333333,1,45
5,0.0388889,1,41
5,0.0444444,1,44
5,0.05,1,49
7,0,1,100
7,0.00555556,1,98
7,0.0111111,1,88
7,0.0166667,1,64
7,0.0222222,1,49
7,0.0277778,1,49
7,0.0333333,1,43
7,0.0388889,1,52
7,0.0444444,1,55
7,0.05,1,52
9,0,1,100
9,0.00555556,1,100
9,0.0111111,1,92
9,0.0166667,1,70
9,0.0222222,1,53
9,0.0277778,1,54
9,0.0333333,1,51
9,0.0388889,1,52
9,0.0444444,1,54
9,0.05,1,46
11,0,1,100
11,0.00555556,1,100
11,0.0111111,1,83
11,0.0166667,1,51
11,0.0222222,1,59
11,0.0277778,1,56
11,0.0333333,1,47
11,0.0388889,1,47
11,0.0444444,1,52
11,0.05,1,54
13,0,1,100
13,0.00555556,1,100
13,0.0111111,1,83
13,0.0166667,1,46
13,0.0222222,1,48
13,0.0277778,1,49
13,0.0333333,1,44
13,0.0388889,1,44
13,0.0444444,1,49
13,0.05,1,48
15,0,1,100
15,0.00555556,1,100
15,0.0111111,1,78
15,0.0166667,1,55
15,0.0222222,1,50
15,0.0277778,1,52
15,0.0333333,1,45
15,0.0388889,1,46
15,0.0444444,1,53
15,0.05,1,56
17,0,1,100
17,0.00555556,1,100
17,0.0111111,1,78
17,0.0166667,1,42
17,0.0222222,1,45
17,0.0277778,1,50
17,0.0333333,1,50
17,0.0388889,1,54
17,0.0444444,1,58
17,0.05,1,54
