L,p_error,num_success
3,0,1,100
3,0.00555556,1,94
3,0.0111111,1,80
3,0.0166667,1,69
3,0.0222222,1,55
3,0.0277778,1,48
3,0.0333333,1,59
3,0.0388889,1,49
3,0.0444444,1,35
3,0.05,1,48
5,0,1,100
5,0.00555556,1,91
5,0.0111111,1,76
5,0.0166667,1,54
5,0.0222222,1,49
5,0.0277778,1,52
5,0.0333333,1,40
5,0.0388889,1,56
5,0.0444444,1,50
5,0.05,1,48
7,0,1,100
7,0.00555556,1,92
7,0.0111111,1,59
7,0.0166667,1,51
7,0.0222222,1,47
7,0.0277778,1,54
7,0.0333333,1,51
7,0.0388889,1,55
7,0.0444444,1,41
7,0.05,1,59
9,0,1,100
9,0.00555556,1,93
9,0.0111111,1,57
9,0.0166667,1,45
9,0.0222222,1,44
9,0.0277778,1,44
9,0.0333333,1,58
9,0.0388889,1,54
9,0.0444444,1,51
9,0.05,1,45
11,0,1,100
11,0.00555556,1,95
11,0.0111111,1,50
11,0.0166667,1,55
11,0.0222222,1,48
11,0.0277778,1,54
11,0.0333333,1,52
11,0.0388889,1,59
11,0.0444444,1,43
11,0.05,1,53
13,0,1,100
13,0.00555556,1,94
13,0.0111111,1,54
13,0.0166667,1,46
13,0.0222222,1,48
13,0.0277778,1,52
13,0.0333333,1,53
13,0.0388889,1,46
13,0.0444444,1,53
13,0.05,1,44
15,0,1,100
15,0.00555556,1,98
15,0.0111111,1,49
15,0.0166667,1,49
15,0.0222222,1,50
15,0.0277778,1,56
15,0.0333333,1,55
15,0.0388889,1,51
15,0.0444444,1,51
15,0.05,1,54
17,0,1,100
17,0.00555556,1,97
17,0.0111111,1,49
17,0.0166667,1,57
17,0.0222222,1,49
17,0.0277778,1,51
17,0.0333333,1,52
17,0.0388889,1,49
17,0.0444444,1,60
17,0.05,1,41
