L,p_error,num_success
3,0,1,100
3,0.00777778,1,97
3,0.0155556,1,60
3,0.0233333,1,63
3,0.0311111,1,57
3,0.0388889,1,44
3,0.0466667,1,53
3,0.0544444,1,48
3,0.0622222,1,55
3,0.07,1,49
5,0,1,100
5,0.00777778,1,100
5,0.0155556,1,46
5,0.0233333,1,55
5,0.0311111,1,51
5,0.0388889,1,52
5,0.0466667,1,50
5,0.0544444,1,44
5,0.0622222,1,47
5,0.07,1,58
7,0,1,100
7,0.00777778,1,99
7,0.0155556,1,42
7,0.0233333,1,51
7,0.0311111,1,48
7,0.0388889,1,54
7,0.0466667,1,41
7,0.0544444,1,45
7,0.0622222,1,47
7,0.07,1,53
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,50
9,0.0233333,1,46
9,0.0311111,1,45
9,0.0388889,1,43
9,0.0466667,1,54
9,0.0544444,1,55
9,0.0622222,1,54
9,0.07,1,55
11,0,1,100
11,0.00777778,1,100
11,0.0155556,1,59
11,0.0233333,1,50
11,0.0311111,1,45
11,0.0388889,1,51
11,0.0466667,1,56
11,0.0544444,1,54
11,0.0622222,1,63
11,0.07,1,53
13,0,1,100
13,0.00777778,1,99
13,0.0155556,1,47
13,0.0233333,1,54
13,0.0311111,1,44
13,0.0388889,1,48
13,0.0466667,1,55
13,0.0544444,1,62
13,0.0622222,1,39
13,0.07,1,49
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,49
15,0.0233333,1,52
15,0.0311111,1,55
15,0.0388889,1,40
15,0.0466667,1,53
15,0.0544444,1,54
15,0.0622222,1,55
15,0.07,1,51
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,49
17,0.0233333,1,40
17,0.0311111,1,49
17,0.0388889,1,42
17,0.0466667,1,55
17,0.0544444,1,53
17,0.0622222,1,54
17,0.07,1,50
