L,p_error,num_success
3,0,1,100
3,0.00133333,1,100
3,0.00266667,1,99
3,0.004,1,100
3,0.00533333,1,93
3,0.00666667,1,96
3,0.008,1,85
3,0.00933333,1,86
3,0.0106667,1,77
3,0.012,1,67
5,0,1,100
5,0.00133333,1,100
5,0.00266667,1,100
5,0.004,1,100
5,0.00533333,1,99
5,0.00666667,1,93
5,0.008,1,75
5,0.00933333,1,75
5,0.0106667,1,55
5,0.012,1,47
7,0,1,100
7,0.00133333,1,100
7,0.00266667,1,100
7,0.004,1,100
7,0.00533333,1,100
7,0.00666667,1,90
7,0.008,1,78
7,0.00933333,1,62
7,0.0106667,1,60
7,0.012,1,50
9,0,1,100
9,0.00133333,1,100
9,0.00266667,1,100
9,0.004,1,100
9,0.00533333,1,99
9,0.00666667,1,93
9,0.008,1,68
9,0.00933333,1,54
9,0.0106667,1,60
9,0.012,1,53
11,0,1,100
11,0.00133333,1,100
11,0.00266667,1,100
11,0.004,1,100
11,0.00533333,1,99
11,0.00666667,1,93
11,0.008,1,65
11,0.00933333,1,42
11,0.0106667,1,44
11,0.012,1,42
13,0,1,100
13,0.00133333,1,100
13,0.00266667,1,100
13,0.004,1,100
13,0.00533333,1,98
13,0.00666667,1,87
13,0.008,1,72
13,0.00933333,1,52
13,0.0106667,1,49
13,0.012,1,48
15,0,1,100
15,0.00133333,1,100
15,0.00266667,1,100
15,0.004,1,100
15,0.00533333,1,100
15,0.00666667,1,90
15,0.008,1,55
15,0.00933333,1,51
15,0.0106667,1,55
15,0.012,1,45
17,0,1,100
17,0.00133333,1,100
17,0.00266667,1,100
17,0.004,1,100
17,0.00533333,1,100
17,0.00666667,1,91
17,0.008,1,51
17,0.00933333,1,43
17,0.0106667,1,52
17,0.012,1,52
