L,p_error,num_success
3,0,1,100
3,0.00133333,1,100
3,0.00266667,1,100
3,0.004,1,98
3,0.00533333,1,96
3,0.00666667,1,95
3,0.008,1,89
3,0.00933333,1,85
3,0.0106667,1,80
3,0.012,1,64
5,0,1,100
5,0.00133333,1,100
5,0.00266667,1,100
5,0.004,1,100
5,0.00533333,1,95
5,0.00666667,1,94
5,0.008,1,73
5,0.00933333,1,67
5,0.0106667,1,62
5,0.012,1,62
7,0,1,100
7,0.00133333,1,100
7,0.00266667,1,100
7,0.004,1,100
7,0.00533333,1,99
7,0.00666667,1,94
7,0.008,1,76
7,0.00933333,1,64
7,0.0106667,1,52
7,0.012,1,49
9,0,1,100
9,0.00133333,1,100
9,0.00266667,1,100
9,0.004,1,100
9,0.00533333,1,99
9,0.00666667,1,88
9,0.008,1,71
9,0.00933333,1,52
9,0.0106667,1,56
9,0.012,1,55
11,0,1,100
11,0.00133333,1,100
11,0.00266667,1,100
11,0.004,1,100
11,0.00533333,1,100
11,0.00666667,1,92
11,0.008,1,69
11,0.00933333,1,46
11,0.0106667,1,43
11,0.012,1,50
13,0,1,100
13,0.00133333,1,100
13,0.00266667,1,100
13,0.004,1,100
13,0.00533333,1,99
13,0.00666667,1,91
13,0.008,1,65
13,0.00933333,1,41
13,0.0106667,1,48
13,0.012,1,47
15,0,1,100
15,0.00133333,1,100
15,0.00266667,1,100
15,0.004,1,100
15,0.00533333,1,100
15,0.00666667,1,93
15,0.008,1,47
15,0.00933333,1,54
15,0.0106667,1,55
15,0.012,1,44
17,0,1,100
17,0.00133333,1,100
17,0.00266667,1,100
17,0.004,1,100
17,0.00533333,1,99
17,0.00666667,1,92
17,0.008,1,59
17,0.00933333,1,57
17,0.0106667,1,45
17,0.012,1,54
