L,p_error,num_success
3,0,1,100
3,0.00555556,1,97
3,0.0111111,1,93
3,0.0166667,1,85
3,0.0222222,1,74
3,0.0277778,1,71
3,0.0333333,1,69
3,0.0388889,1,50
3,0.0444444,1,59
3,0.05,1,54
5,0,1,100
5,0.00555556,1,100
5,0.0111111,1,95
5,0.0166667,1,75
5,0.0222222,1,57
5,0.0277778,1,52
5,0.0333333,1,48
5,0.0388889,1,42
5,0.0444444,1,55
5,0.05,1,41
7,0,1,100
7,0.00555556,1,99
7,0.0111111,1,91
7,0.0166667,1,63
7,0.0222222,1,52
7,0.0277778,1,55
7,0.0333333,1,54
7,0.0388889,1,47
7,0.0444444,1,48
7,0.05,1,47
9,0,1,100
9,0.00555556,1,100
9,0.0111111,1,86
9,0.0166667,1,65
9,0.0222222,1,46
9,0.0277778,1,50
9,0.0333333,1,56
9,0.0388889,1,51
9,0.0444444,1,52
9,0.05,1,56
11,0,1,100
11,0.00555556,1,100
11,0.0111111,1,94
11,0.0166667,1,57
11,0.0222222,1,47
11,0.0277778,1,45
11,0.0333333,1,45
11,0.0388889,1,49
11,0.0444444,1,52
11,0.05,1,47
13,0,1,100
13,0.00555556,1,100
13,0.0111111,1,85
13,0.0166667,1,50
13,0.0222222,1,42
13,0.0277778,1,62
13,0.0333333,1,46
13,0.0388889,1,52
13,0.0444444,1,45
13,0.05,1,50
15,0,1,100
15,0.00555556,1,100
15,0.0111111,1,82
15,0.0166667,1,48
15,0.0222222,1,44
15,0.0277778,1,53
15,0.0333333,1,43
15,0.0388889,1,55
15,0.0444444,1,53
15,0.05,1,58
17,0,1,100
17,0.00555556,1,100
17,0.0111111,1,85
17,0.0166667,1,53
17,0.0222222,1,53
17,0.0277778,1,50
17,0.0333333,1,56
17,0.0388889,1,47
17,0.0444444,1,43
17,0.05,1,47
