L,p_error,num_success
3,0,1,100
3,0.00555556,1,85
3,0.0111111,1,87
3,0.0166667,1,75
3,0.0222222,1,59
3,0.0277778,1,59
3,0.0333333,1,51
3,0.0388889,1,57
3,0.0444444,1,46
3,0.05,1,52
5,0,1,100
5,0.00555556,1,99
5,0.0111111,1,82
5,0.0166667,1,60
5,0.0222222,1,55
5,0.0277778,1,56
5,0.0333333,1,48
5,0.0388889,1,48
5,0.0444444,1,53
5,0.05,1,55
7,0,1,100
7,0.00555556,1,96
7,0.0111111,1,63
7,0.0166667,1,49
7,0.0222222,1,54
7,0.0277778,1,44
7,0.0333333,1,47
7,0.0388889,1,48
7,0.0444444,1,44
7,0.05,1,49
9,0,1,100
9,0.00555556,1,98
9,0.0111111,1,57
9,0.0166667,1,63
9,0.0222222,1,45
9,0.0277778,1,46
9,0.0333333,1,56
9,0.0388889,1,48
9,0.0444444,1,48
9,0.05,1,48
11,0,1,100
11,0.00555556,1,99
11,0.0111111,1,52
11,0.0166667,1,48
11,0.0222222,1,50
11,0.0277778,1,52
11,0.0333333,1,51
11,0.0388889,1,44
11,0.0444444,1,55
11,0.05,1,45
13,0,1,100
13,0.00555556,1,94
13,0.0111111,1,54
13,0.0166667,1,51
13,0.0222222,1,59
13,0.0277778,1,53
13,0.0333333,1,58
13,0.0388889,1,44
13,0.0444444,1,59
13,0.05,1,54
15,0,1,100
15,0.00555556,1,96
15,0.0111111,1,60
15,0.0166667,1,49
15,0.0222222,1,53
15,0.0277778,1,49
15,0.0333333,1,52
15,0.0388889,1,55
15,0.0444444,1,55
15,0.05,1,48
17,0,1,100
17,0.00555556,1,96
17,0.0111111,1,53
17,0.0166667,1,46
17,0.0222222,1,47
17,0.0277778,1,60
17,0.0333333,1,50
17,0.0388889,1,51
17,0.0444444,1,51
17,0.05,1,48
