L,p_error,num_success
3,0,1,100
3,0.00133333,1,95
3,0.00266667,1,92
3,0.004,1,83
3,0.00533333,1,80
3,0.00666667,1,72
3,0.008,1,61
3,0.00933333,1,60
3,0.0106667,1,55
3,0.012,1,60
5,0,1,100
5,0.00133333,1,99
5,0.00266667,1,87
5,0.004,1,67
5,0.00533333,1,61
5,0.00666667,1,54
5,0.008,1,50
5,0.00933333,1,44
5,0.0106667,1,52
5,0.012,1,47
7,0,1,100
7,0.00133333,1,99
7,0.00266667,1,89
7,0.004,1,66
7,0.00533333,1,49
7,0.00666667,1,54
7,0.008,1,51
7,0.00933333,1,44
7,0.0106667,1,51
7,0.012,1,42
9,0,1,100
9,0.00133333,1,100
9,0.00266667,1,85
9,0.004,1,58
9,0.00533333,1,52
9,0.00666667,1,38
9,0.008,1,51
9,0.00933333,1,46
9,0.0106667,1,54
9,0.012,1,46
11,0,1,100
11,0.00133333,1,100
11,0.00266667,1,88
11,0.004,1,60
11,0.00533333,1,62
11,0.00666667,1,53
11,0.008,1,50
11,0.00933333,1,47
11,0.0106667,1,51
11,0.012,1,53
13,0,1,100
13,0.00133333,1,100
13,0.00266667,1,78
13,0.004,1,63
13,0.00533333,1,48
13,0.00666667,1,50
13,0.008,1,54
13,0.00933333,1,47
13,0.0106667,1,53
13,0.012,1,41
15,0,1,100
15,0.00133333,1,100
15,0.00266667,1,72
15,0.004,1,49
15,0.00533333,1,49
15,0.00666667,1,50
15,0.008,1,58
15,0.00933333,1,60
15,0.0106667,1,44
15,0.012,1,42
17,0,1,100
17,0.00133333,1,100
17,0.00266667,1,73
17,0.004,1,48
17,0.00533333,1,42
17,0.00666667,1,48
17,0.008,1,49
17,0.00933333,1,52
17,0.0106667,1,53
17,0.012,1,49
