L,p_error,num_success
3,0,1,100
3,0.00133333,1,92
3,0.00266667,1,81
3,0.004,1,65
3,0.00533333,1,59
3,0.00666667,1,60
3,0.008,1,46
3,0.00933333,1,55
3,0.0106667,1,43
3,0.012,1,52
5,0,1,100
5,0.00133333,1,92
5,0.00266667,1,69
5,0.004,1,53
5,0.00533333,1,58
5,0.00666667,1,43
5,0.008,1,55
5,0.00933333,1,47
5,0.0106667,1,53
5,0.012,1,47
7,0,1,100
7,0.00133333,1,91
7,0.00266667,1,57
7,0.004,1,52
7,0.00533333,1,52
7,0.00666667,1,49
7,0.008,1,53
7,0.00933333,1,46
7,0.0106667,1,55
7,0.012,1,49
9,0,1,100
9,0.00133333,1,90
9,0.00266667,1,50
9,0.004,1,59
9,0.00533333,1,44
9,0.00666667,1,52
9,0.008,1,52
9,0.00933333,1,37
9,0.0106667,1,54
9,0.012,1,52
11,0,1,100
11,0.00133333,1,92
11,0.00266667,1,53
11,0.004,1,45
11,0.00533333,1,59
11,0.00666667,1,46
11,0.008,1,43
11,0.00933333,1,54
11,0.0106667,1,50
11,0.012,1,44
13,0,1,100
13,0.00133333,1,96
13,0.00266667,1,55
13,0.004,1,46
13,0.00533333,1,59
13,0.00666667,1,43
13,0.008,1,58
13,0.00933333,1,45
13,0.0106667,1,50
13,0.012,1,44
15,0,1,100
15,0.00133333,1,92
15,0.00266667,1,55
15,0.004,1,49
15,0.00533333,1,55
15,0.00666667,1,47
15,0.008,1,51
15,0.00933333,1,46
15,0.0106667,1,53
15,0.012,1,45
17,0,1,100
17,0.00133333,1,94
17,0.00266667,1,50
17,0.004,1,50
17,0.00533333,1,64
17,0.00666667,1,55
17,0.008,1,45
17,0.00933333,1,55
17,0.0106667,1,47
17,0.012,1,53
