L,p_error,num_success
3,0,1,100
3,0.00777778,1,100
3,0.0155556,1,100
3,0.0233333,1,99
3,0.0311111,1,98
3,0.0388889,1,91
3,0.0466667,1,86
3,0.0544444,1,83
3,0.0622222,1,79
3,0.07,1,59
5,0,1,100
5,0.00777778,1,100
5,0.0155556,1,100
5,0.0233333,1,99
5,0.0311111,1,96
5,0.0388889,1,88
5,0.0466667,1,79
5,0.0544444,1,62
5,0.0622222,1,57
5,0.07,1,49
7,0,1,100
7,0.00777778,1,100
7,0.0155556,1,100
7,0.0233333,1,100
7,0.0311111,1,95
7,0.0388889,1,88
7,0.0466667,1,72
7,0.0544444,1,57
7,0.0622222,1,49
7,0.07,1,54
9,0,1,100
9,0.00777778,1,100
9,0.0155556,1,100
9,0.0233333,1,100
9,0.0311111,1,99
9,0.0388889,1,90
9,0.0466667,1,70
9,0.0544444,1,44
9,0.0622222,1,61
9,0.07,1,42
11,0,1,100
11,0.00777778,1,100
11,0.0155556,1,100
11,0.0233333,1,100
11,0.0311111,1,98
11,0.0388889,1,94
11,0.0466667,1,60
11,0.0544444,1,49
11,0.0622222,1,50
11,0.07,1,52
13,0,1,100
13,0.00777778,1,100
13,0.0155556,1,100
13,0.0233333,1,100
13,0.0311111,1,99
13,0.0388889,1,89
13,0.0466667,1,60
13,0.0544444,1,53
13,0.0622222,1,48
13,0.07,1,48
15,0,1,100
15,0.00777778,1,100
15,0.0155556,1,100
15,0.0233333,1,100
15,0.0311111,1,99
15,0.0388889,1,92
15,0.0466667,1,53
15,0.0544444,1,51
15,0.0622222,1,50
15,0.07,1,58
17,0,1,100
17,0.00777778,1,100
17,0.0155556,1,100
17,0.0233333,1,100
17,0.0311111,1,100
17,0.0388889,1,90
17,0.0466667,1,51
17,0.0544444,1,59
17,0.0622222,1,37
17,0.07,1,43
