L,p_error,num_success
3,0,1,100
3,0.00133333,1,83
3,0.00266667,1,59
3,0.004,1,53
3,0.00533333,1,55
3,0.00666667,1,43
3,0.008,1,42
3,0.00933333,1,53
3,0.0106667,1,45
3,0.012,1,58
5,0,1,100
5,0.00133333,1,74
5,0.00266667,1,47
5,0.004,1,53
5,0.00533333,1,45
5,0.00666667,1,44
5,0.008,1,56
5,0.00933333,1,48
5,0.0106667,1,54
5,0.012,1,50
7,0,1,100
7,0.00133333,1,60
7,0.00266667,1,47
7,0.004,1,51
7,0.00533333,1,43
7,0.00666667,1,44
7,0.008,1,51
7,0.00933333,1,53
7,0.0106667,1,47
7,0.012,1,58
9,0,1,100
9,0.00133333,1,54
9,0.00266667,1,51
9,0.004,1,48
9,0.00533333,1,47
9,0.00666667,1,56
9,0.008,1,59
9,0.00933333,1,45
9,0.0106667,1,54
9,0.012,1,50
11,0,1,100
11,0.00133333,1,48
11,0.00266667,1,54
11,0.004,1,58
11,0.00533333,1,48
11,0.00666667,1,46
11,0.008,1,47
11,0.00933333,1,46
11,0.0106667,1,53
11,0.012,1,51
13,0,1,100
13,0.00133333,1,43
13,0.00266667,1,48
13,0.004,1,49
13,0.00533333,1,48
13,0.00666667,1,48
13,0.008,1,53
13,0.00933333,1,47
13,0.0106667,1,49
13,0.012,1,50
15,0,1,100
15,0.00133333,1,52
15,0.00266667,1,54
15,0.004,1,54
15,0.00533333,1,55
15,0.00666667,1,54
15,0.008,1,55
15,0.00933333,1,41
15,0.0106667,1,41
15,0.012,1,54
17,0,1,100
17,0.00133333,1,45
17,0.00266667,1,48
17,0.004,1,51
17,0.00533333,1,50
17,0.00666667,1,42
17,0.008,1,53
17,0.00933333,1,45
17,0.0106667,1,48
17,0.012,1,49
