L,p_error,num_success
3,0.004,0.05,466
3,0.00444444,0.05,459
3,0.00488889,0.05,449
3,0.00533333,0.05,444
3,0.00577778,0.05,439
3,0.00622222,0.05,431
3,0.00666667,0.05,428
3,0.00711111,0.05,419
3,0.00755556,0.05,420
3,0.008,0.05,428
5,0.004,0.05,463
5,0.00444444,0.05,454
5,0.00488889,0.05,451
5,0.00533333,0.05,434
5,0.00577778,0.05,431
5,0.00622222,0.05,417
5,0.00666667,0.05,419
5,0.00711111,0.05,401
5,0.00755556,0.05,395
5,0.008,0.05,370
7,0.004,0.05,473
7,0.00444444,0.05,464
7,0.00488889,0.05,447
7,0.00533333,0.05,415
7,0.00577778,0.05,423
7,0.00622222,0.05,386
7,0.00666667,0.05,395
7,0.00711111,0.05,363
7,0.00755556,0.05,369
7,0.008,0.05,349
9,0.004,0.05,469
9,0.00444444,0.05,453
9,0.00488889,0.05,437
9,0.00533333,0.05,413
9,0.00577778,0.05,400
9,0.00622222,0.05,386
9,0.00666667,0.05,364
9,0.00711111,0.05,324
9,0.00755556,0.05,328
9,0.008,0.05,319
11,0.004,0.05,480
11,0.00444444,0.05,457
11,0.00488889,0.05,442
11,0.00533333,0.05,424
11,0.00577778,0.05,405
11,0.00622222,0.05,355
11,0.00666667,0.05,346
11,0.00711111,0.05,292
11,0.00755556,0.05,297
11,0.008,0.05,279
13,0.004,0.05,474
13,0.00444444,0.05,444
13,0.00488889,0.05,423
13,0.00533333,0.05,392
13,0.00577778,0.05,381
13,0.00622222,0.05,351
13,0.00666667,0.05,308
13,0.00711111,0.05,311
13,0.00755556,0.05,288
13,0.008,0.05,268
