L,p_error,num_success
3,0.004,0.05,466
3,0.00444444,0.05,456
3,0.00488889,0.05,457
3,0.00533333,0.05,456
3,0.00577778,0.05,436
3,0.00622222,0.05,430
3,0.00666667,0.05,431
3,0.00711111,0.05,418
3,0.00755556,0.05,416
3,0.008,0.05,405
5,0.004,0.05,458
5,0.00444444,0.05,460
5,0.00488889,0.05,453
5,0.00533333,0.05,447
5,0.00577778,0.05,425
5,0.00622222,0.05,430
5,0.00666667,0.05,422
5,0.00711111,0.05,414
5,0.00755556,0.05,393
5,0.008,0.05,382
7,0.004,0.05,473
7,0.00444444,0.05,448
7,0.00488889,0.05,431
7,0.00533333,0.05,443
7,0.00577778,0.05,412
7,0.00622222,0.05,405
7,0.00666667,0.05,389
7,0.00711111,0.05,381
7,0.00755556,0.05,366
7,0.008,0.05,336
9,0.004,0.05,468
9,0.00444444,0.05,452
9,0.00488889,0.05,439
9,0.00533333,0.05,412
9,0.00577778,0.05,409
9,0.00622222,0.05,378
9,0.00666667,0.05,366
9,0.00711111,0.05,341
9,0.00755556,0.05,324
9,0.008,0.05,319
11,0.004,0.05,477
11,0.00444444,0.05,448
11,0.00488889,0.05,437
11,0.00533333,0.05,411
11,0.00577778,0.05,383
11,0.00622222,0.05,372
11,0.00666667,0.05,340
11,0.00711111,0.05,309
11,0.00755556,0.05,298
11,0.008,0.05,261
13,0.004,0.05,474
13,0.00444444,0.05,451
13,0.00488889,0.05,424
13,0.00533333,0.05,390
13,0.00577778,0.05,378
13,0.00622222,0.05,353
13,0.00666667,0.05,325
13,0.00711111,0.05,288
13,0.00755556,0.05,285
13,0.008,0.05,253
