L,p_error,num_success
3,0,1,100
3,0.00277778,1,100
3,0.00555556,1,98
3,0.00833333,1,93
3,0.0111111,1,92
3,0.0138889,1,87
3,0.0166667,1,78
3,0.0194444,1,72
3,0.0222222,1,71
3,0.025,1,59
5,0,1,100
5,0.00277778,1,100
5,0.00555556,1,100
5,0.00833333,1,99
5,0.0111111,1,95
5,0.0138889,1,79
5,0.0166667,1,71
5,0.0194444,1,56
5,0.0222222,1,47
5,0.025,1,48
7,0,1,100
7,0.00277778,1,100
7,0.00555556,1,100
7,0.00833333,1,99
7,0.0111111,1,92
7,0.0138889,1,83
7,0.0166667,1,58
7,0.0194444,1,52
7,0.0222222,1,50
7,0.025,1,53
9,0,1,100
9,0.00277778,1,100
9,0.00555556,1,100
9,0.00833333,1,99
9,0.0111111,1,97
9,0.0138889,1,70
9,0.0166667,1,53
9,0.0194444,1,48
9,0.0222222,1,50
9,0.025,1,46
11,0,1,100
11,0.00277778,1,100
11,0.00555556,1,100
11,0.00833333,1,100
11,0.0111111,1,96
11,0.0138889,1,63
11,0.0166667,1,50
11,0.0194444,1,53
11,0.0222222,1,49
11,0.025,1,51
13,0,1,100
13,0.00277778,1,100
13,0.00555556,1,100
13,0.00833333,1,100
13,0.0111111,1,98
13,0.0138889,1,69
13,0.0166667,1,43
13,0.0194444,1,49
13,0.0222222,1,50
13,0.025,1,58
15,0,1,100
15,0.00277778,1,100
15,0.00555556,1,100
15,0.00833333,1,100
15,0.0111111,1,97
15,0.0138889,1,67
15,0.0166667,1,45
15,0.0194444,1,60
15,0.0222222,1,48
15,0.025,1,50
17,0,1,100
17,0.00277778,1,100
17,0.00555556,1,100
17,0.00833333,1,100
17,0.0111111,1,96
17,0.0138889,1,62
17,0.0166667,1,53
17,0.0194444,1,41
17,0.0222222,1,45
17,0.025,1,37
