L,p_error,num_success
3,0,1,100
3,0.00277778,1,100
3,0.00555556,1,96
3,0.00833333,1,74
3,0.0111111,1,62
3,0.0138889,1,61
3,0.0166667,1,57
3,0.0194444,1,52
3,0.0222222,1,52
3,0.025,1,52
5,0,1,100
5,0.00277778,1,100
5,0.00555556,1,85
5,0.00833333,1,69
5,0.0111111,1,54
5,0.0138889,1,55
5,0.0166667,1,49
5,0.0194444,1,61
5,0.0222222,1,53
5,0.025,1,53
7,0,1,100
7,0.00277778,1,100
7,0.00555556,1,86
7,0.00833333,1,62
7,0.0111111,1,57
7,0.0138889,1,58
7,0.0166667,1,55
7,0.0194444,1,41
7,0.0222222,1,55
7,0.025,1,55
9,0,1,100
9,0.00277778,1,100
9,0.00555556,1,81
9,0.00833333,1,63
9,0.0111111,1,53
9,0.0138889,1,60
9,0.0166667,1,50
9,0.0194444,1,56
9,0.0222222,1,46
9,0.025,1,49
11,0,1,100
11,0.00277778,1,100
11,0.00555556,1,85
11,0.00833333,1,61
11,0.0111111,1,45
11,0.0138889,1,46
11,0.0166667,1,53
11,0.0194444,1,49
11,0.0222222,1,53
11,0.025,1,49
13,0,1,100
13,0.00277778,1,100
13,0.00555556,1,79
13,0.00833333,1,66
13,0.0111111,1,53
13,0.0138889,1,49
13,0.0166667,1,49
13,0.0194444,1,46
13,0.0222222,1,47
13,0.025,1,49
15,0,1,100
15,0.00277778,1,100
15,0.00555556,1,76
15,0.00833333,1,62
15,0.0111111,1,47
15,0.0138889,1,53
15,0.0166667,1,57
15,0.0194444,1,45
15,0.0222222,1,54
15,0.025,1,57
17,0,1,100
17,0.00277778,1,100
17,0.00555556,1,78
17,0.00833333,1,60
17,0.0111111,1,46
17,0.0138889,1,50
17,0.0166667,1,54
17,0.0194444,1,45
17,0.0222222,1,48
17,0.025,1,51
