L,p_error,num_success
3,0,1,100
3,0.00277778,1,100
3,0.00555556,1,84
3,0.00833333,1,82
3,0.0111111,1,68
3,0.0138889,1,55
3,0.0166667,1,59
3,0.0194444,1,50
3,0.0222222,1,65
3,0.025,1,48
5,0,1,100
5,0.00277778,1,100
5,0.00555556,1,87
5,0.00833333,1,72
5,0.0111111,1,59
5,0.0138889,1,55
5,0.0166667,1,53
5,0.0194444,1,50
5,0.0222222,1,55
5,0.025,1,54
7,0,1,100
7,0.00277778,1,100
7,0.00555556,1,89
7,0.00833333,1,59
7,0.0111111,1,60
7,0.0138889,1,38
7,0.0166667,1,39
7,0.0194444,1,41
7,0.0222222,1,54
7,0.025,1,48
9,0,1,100
9,0.00277778,1,100
9,0.00555556,1,79
9,0.00833333,1,64
9,0.0111111,1,51
9,0.0138889,1,55
9,0.0166667,1,51
9,0.0194444,1,50
9,0.0222222,1,50
9,0.025,1,52
11,0,1,100
11,0.00277778,1,100
11,0.00555556,1,85
11,0.00833333,1,69
11,0.0111111,1,49
11,0.0138889,1,52
11,0.0166667,1,49
11,0.0194444,1,46
11,0.0222222,1,49
11,0.025,1,52
13,0,1,100
13,0.00277778,1,100
13,0.00555556,1,81
13,0.00833333,1,51
13,0.0111111,1,46
13,0.0138889,1,49
13,0.0166667,1,51
13,0.0194444,1,35
13,0.0222222,1,55
13,0.025,1,51
15,0,1,100
15,0.00277778,1,100
15,0.00555556,1,81
15,0.00833333,1,67
15,0.0111111,1,53
15,0.0138889,1,57
15,0.0166667,1,51
15,0.0194444,1,43
15,0.0222222,1,41
15,0.025,1,50
17,0,1,100
17,0.00277778,1,100
17,0.00555556,1,80
17,0.00833333,1,66
17,0.0111111,1,41
17,0.0138889,1,49
17,0.0166667,1,46
17,0.0194444,1,52
17,0.0222222,1,51
17,0.025,1,47
