L,p_error,num_success
3,0,1,100
3,0.00277778,1,98
3,0.00555556,1,96
3,0.00833333,1,85
3,0.0111111,1,66
3,0.0138889,1,67
3,0.0166667,1,52
3,0.0194444,1,57
3,0.0222222,1,44
3,0.025,1,42
5,0,1,100
5,0.00277778,1,100
5,0.00555556,1,84
5,0.00833333,1,67
5,0.0111111,1,50
5,0.0138889,1,45
5,0.0166667,1,37
5,0.0194444,1,52
5,0.0222222,1,47
5,0.025,1,52
7,0,1,100
7,0.00277778,1,100
7,0.00555556,1,86
7,0.00833333,1,59
7,0.0111111,1,55
7,0.0138889,1,50
7,0.0166667,1,53
7,0.0194444,1,41
7,0.0222222,1,56
7,0.025,1,56
9,0,1,100
9,0.00277778,1,100
9,0.00555556,1,88
9,0.00833333,1,66
9,0.0111111,1,56
9,0.0138889,1,55
9,0.0166667,1,51
9,0.0194444,1,44
9,0.0222222,1,45
9,0.025,1,55
11,0,1,100
11,0.00277778,1,100
11,0.00555556,1,88
11,0.00833333,1,53
11,0.0111111,1,53
11,0.0138889,1,50
11,0.0166667,1,53
11,0.0194444,1,57
11,0.0222222,1,56
11,0.025,1,47
13,0,1,100
13,0.00277778,1,100
13,0.00555556,1,80
13,0.00833333,1,63
13,0.0111111,1,39
13,0.0138889,1,38
13,0.0166667,1,52
13,0.0194444,1,48
13,0.0222222,1,49
13,0.025,1,54
15,0,1,100
15,0.00277778,1,100
15,0.00555556,1,77
15,0.00833333,1,68
15,0.0111111,1,53
15,0.0138889,1,51
15,0.0166667,1,60
15,0.0194444,1,50
15,0.0222222,1,56
15,0.025,1,37
17,0,1,100
17,0.00277778,1,100
17,0.00555556,1,82
17,0.00833333,1,66
17,0.0111111,1,46
17,0.0138889,1,50
17,0.0166667,1,53
17,0.0194444,1,52
17,0.0222222,1,54
17,0.025,1,42
