L,p_error,num_success
3,0,1,100
3,0.00277778,1,98
3,0.00555556,1,91
3,0.00833333,1,76
3,0.0111111,1,65
3,0.0138889,1,62
3,0.0166667,1,60
3,0.0194444,1,56
3,0.0222222,1,54
3,0.025,1,54
5,0,1,100
5,0.00277778,1,99
5,0.00555556,1,91
5,0.00833333,1,72
5,0.0111111,1,58
5,0.0138889,1,58
5,0.0166667,1,46
5,0.0194444,1,57
5,0.0222222,1,47
5,0.025,1,52
7,0,1,100
7,0.00277778,1,100
7,0.00555556,1,90
7,0.00833333,1,65
7,0.0111111,1,58
7,0.0138889,1,53
7,0.0166667,1,53
7,0.0194444,1,58
7,0.0222222,1,49
7,0.025,1,53
9,0,1,100
9,0.00277778,1,100
9,0.00555556,1,91
9,0.00833333,1,60
9,0.0111111,1,52
9,0.0138889,1,44
9,0.0166667,1,48
9,0.0194444,1,53
9,0.0222222,1,53
9,0.025,1,47
11,0,1,100
11,0.00277778,1,100
11,0.00555556,1,86
11,0.00833333,1,59
11,0.0111111,1,52
11,0.0138889,1,44
11,0.0166667,1,45
11,0.0194444,1,48
11,0.0222222,1,50
11,0.025,1,55
13,0,1,100
13,0.00277778,1,100
13,0.00555556,1,79
13,0.00833333,1,58
13,0.0111111,1,49
13,0.0138889,1,44
13,0.0166667,1,52
13,0.0194444,1,54
13,0.0222222,1,51
13,0.025,1,49
15,0,1,100
15,0.00277778,1,100
15,0.00555556,1,86
15,0.00833333,1,62
15,0.0111111,1,43
15,0.0138889,1,57
15,0.0166667,1,41
15,0.0194444,1,50
15,0.0222222,1,41
15,0.025,1,51
17,0,1,100
17,0.00277778,1,100
17,0.00555556,1,85
17,0.00833333,1,62
17,0.0111111,1,56
17,0.0138889,1,53
17,0.0166667,1,48
17,0.0194444,1,46
17,0.0222222,1,56
17,0.025,1,50
