L,p_error,num_success
3,0,1,100
3,0.00277778,1,99
3,0.00555556,1,92
3,0.00833333,1,76
3,0.0111111,1,62
3,0.0138889,1,58
3,0.0166667,1,60
3,0.0194444,1,48
3,0.0222222,1,48
3,0.025,1,48
5,0,1,100
5,0.00277778,1,100
5,0.00555556,1,88
5,0.00833333,1,75
5,0.0111111,1,58
5,0.0138889,1,56
5,0.0166667,1,52
5,0.0194444,1,59
5,0.0222222,1,50
5,0.025,1,52
7,0,1,100
7,0.00277778,1,99
7,0.00555556,1,85
7,0.00833333,1,69
7,0.0111111,1,58
7,0.0138889,1,51
7,0.0166667,1,43
7,0.0194444,1,47
7,0.0222222,1,52
7,0.025,1,50
9,0,1,100
9,0.00277778,1,100
9,0.00555556,1,86
9,0.00833333,1,68
9,0.0111111,1,43
9,0.0138889,1,54
9,0.0166667,1,47
9,0.0194444,1,42
9,0.0222222,1,52
9,0.025,1,50
11,0,1,100
11,0.00277778,1,100
11,0.00555556,1,83
11,0.00833333,1,64
11,0.0111111,1,46
11,0.0138889,1,49
11,0.0166667,1,54
11,0.0194444,1,50
11,0.0222222,1,51
11,0.025,1,44
13,0,1,100
13,0.00277778,1,100
13,0.00555556,1,79
13,0.00833333,1,59
13,0.0111111,1,55
13,0.0138889,1,44
13,0.0166667,1,44
13,0.0194444,1,42
13,0.0222222,1,49
13,0.025,1,62
15,0,1,100
15,0.00277778,1,100
15,0.00555556,1,87
15,0.00833333,1,67
15,0.0111111,1,53
15,0.0138889,1,56
15,0.0166667,1,48
15,0.0194444,1,56
15,0.0222222,1,44
15,0.025,1,54
17,0,1,100
17,0.00277778,1,100
17,0.00555556,1,77
17,0.00833333,1,60
17,0.0111111,1,55
17,0.0138889,1,47
17,0.0166667,1,59
17,0.0194444,1,49
17,0.0222222,1,49
17,0.025,1,49
