L,p_error,num_success
3,0,1,100
3,0.00111111,1,100
3,0.00222222,1,99
3,0.00333333,1,98
3,0.00444444,1,99
3,0.00555556,1,95
3,0.00666667,1,97
3,0.00777778,1,95
3,0.00888889,1,88
3,0.01,1,79
5,0,1,100
5,0.00111111,1,100
5,0.00222222,1,100
5,0.00333333,1,100
5,0.00444444,1,100
5,0.00555556,1,96
5,0.00666667,1,92
5,0.00777778,1,85
5,0.00888889,1,81
5,0.01,1,76
7,0,1,100
7,0.00111111,1,100
7,0.00222222,1,100
7,0.00333333,1,100
7,0.00444444,1,99
7,0.00555556,1,98
7,0.00666667,1,93
7,0.00777778,1,85
7,0.00888889,1,79
7,0.01,1,60
9,0,1,100
9,0.00111111,1,100
9,0.00222222,1,100
9,0.00333333,1,100
9,0.00444444,1,100
9,0.00555556,1,100
9,0.00666667,1,93
9,0.00777778,1,83
9,0.00888889,1,73
9,0.01,1,59
11,0,1,100
11,0.00111111,1,100
11,0.00222222,1,100
11,0.00333333,1,100
11,0.00444444,1,100
11,0.00555556,1,100
11,0.00666667,1,98
11,0.00777778,1,83
11,0.00888889,1,60
11,0.01,1,53
13,0,1,100
13,0.00111111,1,100
13,0.00222222,1,100
13,0.00333333,1,100
13,0.00444444,1,100
13,0.00555556,1,100
13,0.00666667,1,95
13,0.00777778,1,90
13,0.00888889,1,65
13,0.01,1,53
15,0,1,100
15,0.00111111,1,100
15,0.00222222,1,100
15,0.00333333,1,100
15,0.00444444,1,100
15,0.00555556,1,100
15,0.00666667,1,97
15,0.00777778,1,84
15,0.00888889,1,61
15,0.01,1,49
17,0,1,100
17,0.00111111,1,100
17,0.00222222,1,100
17,0.00333333,1,100
17,0.00444444,1,100
17,0.00555556,1,100
17,0.00666667,1,99
17,0.00777778,1,74
17,0.00888889,1,51
17,0.01,1,40
